req_id,req_time,site_manager,device,backbone,task,latency
4223,65.4762445620383,site2,http://10.100.20.53:8001,chronostiny,diasbp,19.843339920043945
4224,65.487719207928,site2,http://10.100.20.53:8001,chronostiny,heartrate,16.500234603881836
4225,65.49722802753672,site2,http://10.100.20.53:8001,chronostiny,ecgclass,10.72382926940918
4226,65.52164075839762,site2,http://10.100.20.53:8001,chronostiny,heartrate,9.797811508178711
4227,65.52792024207949,site2,http://10.100.20.53:8001,chronostiny,sysbp,13.129234313964844
4228,65.53117908040758,site2,http://10.100.20.53:8001,chronostiny,diasbp,26.22056007385254
4229,65.53750663409562,site2,http://10.100.20.53:8001,chronostiny,diasbp,23.529529571533203
4230,65.53845723784598,site2,http://10.100.20.53:8001,chronostiny,ecgclass,31.15534782409668
4231,65.5431923527188,site2,http://10.100.20.53:8001,chronostiny,sysbp,30.051469802856445
4232,65.54946922576558,site2,http://10.100.20.53:8001,chronostiny,ecgclass,28.089284896850586
4233,65.55825268649642,site2,http://10.100.20.53:8001,chronostiny,ecgclass,19.720792770385742
4234,65.57184168293047,site2,http://10.100.20.53:8001,chronostiny,diasbp,21.959781646728516
4235,65.57552014797201,site2,http://10.100.20.53:8001,chronostiny,diasbp,27.479887008666992
4236,65.57552014797201,site2,http://10.100.20.53:8001,chronostiny,heartrate,35.5374813079834
4237,65.57958895857654,site2,http://10.100.20.53:8001,chronostiny,diasbp,40.42243957519531
4238,65.5870894681833,site2,http://10.100.20.53:8001,chronostiny,sysbp,40.81392288208008
4239,65.59903624116187,site2,http://10.100.20.53:8001,chronostiny,heartrate,37.601470947265625
4240,65.5999373866096,site2,http://10.100.20.53:8001,chronostiny,heartrate,45.21822929382324
4241,65.60855157628788,site2,http://10.100.20.53:8001,chronostiny,diasbp,36.52691841125488
4242,65.65490805013835,site2,http://10.100.20.53:8001,chronostiny,sysbp,9.75346565246582
4243,65.67191501207084,site2,http://10.100.20.53:8001,chronostiny,ecgclass,5.102872848510742
4244,65.67546024614565,site2,http://10.100.20.53:8001,chronostiny,diasbp,10.554790496826172
4245,65.68634550200024,site2,http://10.100.20.53:8001,chronostiny,heartrate,9.481668472290039
4246,65.68951595478747,site2,http://10.100.20.53:8001,chronostiny,sysbp,18.89944076538086
4247,65.69011929955077,site2,http://10.100.20.53:8001,chronostiny,ecgclass,18.393516540527344
4248,65.72803477626006,site2,http://10.100.20.53:8001,chronostiny,sysbp,10.280370712280273
4249,65.73139762524903,site2,http://10.100.20.53:8001,chronostiny,ecgclass,19.526004791259766
4250,65.73295842669465,site2,http://10.100.20.53:8001,chronostiny,sysbp,17.706632614135742
4251,65.7760481639286,site2,http://10.100.20.53:8001,chronostiny,diasbp,10.094404220581055
4252,65.78680725744749,site2,http://10.100.20.53:8001,chronostiny,heartrate,9.575366973876953
4253,65.78901085636848,site2,http://10.100.20.53:8001,chronostiny,sysbp,25.10976791381836
4254,65.78971859343639,site2,http://10.100.20.53:8001,chronostiny,sysbp,33.06436538696289
4255,65.79542026349087,site2,http://10.100.20.53:8001,chronostiny,heartrate,30.790328979492188
4256,65.79803807979593,site2,http://10.100.20.53:8001,chronostiny,ecgclass,28.659820556640625
4257,65.82541325318616,site2,http://10.100.20.53:8001,chronostiny,sysbp,10.222911834716797
4258,65.8547053255539,site2,http://10.100.20.53:8001,chronostiny,ecgclass,5.711555480957031
4259,65.8749386255959,site2,http://10.100.20.53:8001,chronostiny,ecgclass,4.9610137939453125
4260,65.88551306078215,site2,http://10.100.20.53:8001,chronostiny,diasbp,9.231090545654297
4261,65.90410897148296,site2,http://10.100.20.53:8001,chronostiny,sysbp,9.424448013305664
4262,65.92181629211709,site2,http://10.100.20.53:8001,chronostiny,diasbp,9.703636169433594
4263,65.93603542553225,site2,http://10.100.20.53:8001,chronostiny,sysbp,9.5672607421875
4264,65.94048736925178,site2,http://10.100.20.53:8001,chronostiny,heartrate,13.48114013671875
4265,65.94867769545827,site2,http://10.100.20.53:8001,chronostiny,sysbp,14.098167419433594
4266,65.95895252131616,site2,http://10.100.20.53:8001,chronostiny,diasbp,20.10059356689453
4267,65.95988461830622,site2,http://10.100.20.53:8001,chronostiny,diasbp,19.50526237487793
4268,66.0292575027788,site2,http://10.100.20.53:8001,chronostiny,heartrate,9.996891021728516
4269,66.05053423905726,site2,http://10.100.20.53:8001,chronostiny,diasbp,11.681079864501953
4270,66.05053423905726,site2,http://10.100.20.53:8001,chronostiny,diasbp,25.936126708984375
4271,66.05753339573077,site2,http://10.100.20.53:8001,chronostiny,sysbp,23.51212501525879
4272,66.05753339573077,site2,http://10.100.20.53:8001,chronostiny,ecgclass,31.071901321411133
4273,66.05972436734906,site2,http://10.100.20.53:8001,chronostiny,heartrate,37.775516510009766
4274,66.06222929573147,site2,http://10.100.20.53:8001,chronostiny,heartrate,43.23410987854004
4275,66.06616212090402,site2,http://10.100.20.53:8001,chronostiny,diasbp,47.55711555480957
4276,66.06643114373139,site2,http://10.100.20.53:8001,chronostiny,diasbp,55.50408363342285
4277,66.06731229457401,site2,http://10.100.20.53:8001,chronostiny,diasbp,63.48919868469238
4278,66.0847024062239,site2,http://10.100.20.53:8001,chronostiny,diasbp,50.36616325378418
4279,66.08956195777401,site2,http://10.100.20.53:8001,chronostiny,ecgclass,52.98113822937012
4280,66.09795779974087,site2,http://10.100.20.53:8001,chronostiny,diasbp,45.6852912902832
4281,66.12978717349503,site2,http://10.100.20.53:8001,chronostiny,diasbp,29.575109481811523
4282,66.12978717349503,site2,http://10.100.20.53:8001,chronostiny,heartrate,36.6358757019043
4283,66.13969658760942,site2,http://10.100.20.53:8001,chronostiny,sysbp,28.525829315185547
4284,66.15182166376991,site2,http://10.100.20.53:8001,chronostiny,heartrate,27.523040771484375
4285,66.15952346345573,site2,http://10.100.20.53:8001,chronostiny,ecgclass,20.591259002685547
4286,66.17321030899768,site2,http://10.100.20.53:8001,chronostiny,diasbp,23.448944091796875
4287,66.17673778850941,site2,http://10.100.20.53:8001,chronostiny,diasbp,28.13267707824707
4288,66.17673778850941,site2,http://10.100.20.53:8001,chronostiny,heartrate,27.930498123168945
4289,66.19583439395606,site2,http://10.100.20.53:8001,chronostiny,ecgclass,21.158218383789062
4290,66.19674903506763,site2,http://10.100.20.53:8001,chronostiny,heartrate,20.443439483642578
4291,66.22171123313653,site2,http://10.100.20.53:8001,chronostiny,diasbp,9.84334945678711
4292,66.22643419637338,site2,http://10.100.20.53:8001,chronostiny,diasbp,12.932062149047852
4293,66.23174352417493,site2,http://10.100.20.53:8001,chronostiny,heartrate,15.974998474121094
4294,66.25394579767074,site2,http://10.100.20.53:8001,chronostiny,sysbp,9.192466735839844
4295,66.26594087849541,site2,http://10.100.20.53:8001,chronostiny,heartrate,9.894371032714844
4296,66.26596853907435,site2,http://10.100.20.53:8001,chronostiny,heartrate,17.37666130065918
4297,66.33122422212394,site2,http://10.100.20.53:8001,chronostiny,ecgclass,6.026744842529297
4298,66.33122422212394,site2,http://10.100.20.53:8001,chronostiny,diasbp,13.424158096313477
4299,66.3425595473892,site2,http://10.100.20.53:8001,chronostiny,ecgclass,7.015705108642578
4300,66.35125215574787,site2,http://10.100.20.53:8001,chronostiny,diasbp,9.022235870361328
4301,66.42954766669489,site2,http://10.100.20.53:8001,chronostiny,ecgclass,5.438089370727539
4302,66.44310193390581,site2,http://10.100.20.53:8001,chronostiny,diasbp,9.43613052368164
4303,66.44568406966745,site2,http://10.100.20.53:8001,chronostiny,sysbp,24.090051651000977
4304,66.4474957356323,site2,http://10.100.20.53:8001,chronostiny,sysbp,30.38501739501953
4305,66.4474957356323,site2,http://10.100.20.53:8001,chronostiny,diasbp,33.73837471008301
4306,66.44919449154679,site2,http://10.100.20.53:8001,chronostiny,ecgclass,41.89610481262207
4307,66.45580606264788,site2,http://10.100.20.53:8001,chronostiny,sysbp,35.630226135253906
4308,66.48304691544628,site2,http://10.100.20.53:8001,chronostiny,ecgclass,18.67842674255371
4309,66.48304691544628,site2,http://10.100.20.53:8001,chronostiny,diasbp,18.471717834472656
4310,66.49036660524584,site2,http://10.100.20.53:8001,chronostiny,ecgclass,24.416446685791016
4311,66.49070768055219,site2,http://10.100.20.53:8001,chronostiny,sysbp,27.86564826965332
4312,66.4919578161971,site2,http://10.100.20.53:8001,chronostiny,ecgclass,30.216217041015625
4313,66.4919578161971,site2,http://10.100.20.53:8001,chronostiny,ecgclass,33.50973129272461
4314,66.49340791445601,site2,http://10.100.20.53:8001,chronostiny,ecgclass,40.93456268310547
4315,66.49601718536229,site2,http://10.100.20.53:8001,chronostiny,diasbp,46.24605178833008
4316,66.50367585421675,site2,http://10.100.20.53:8001,chronostiny,heartrate,46.75436019897461
4317,66.51237508871809,site2,http://10.100.20.53:8001,chronostiny,heartrate,46.82612419128418
4318,66.52064500063746,site2,http://10.100.20.53:8001,chronostiny,diasbp,38.36560249328613
4319,66.54736856012198,site2,http://10.100.20.53:8001,chronostiny,sysbp,24.04332160949707
4320,66.54736856012198,site2,http://10.100.20.53:8001,chronostiny,ecgclass,23.72288703918457
4321,66.56689040072135,site2,http://10.100.20.53:8001,chronostiny,diasbp,12.831926345825195
4322,66.58206290340277,site2,http://10.100.20.53:8001,chronostiny,sysbp,13.357400894165039
4323,66.58206290340277,site2,http://10.100.20.53:8001,chronostiny,ecgclass,12.681245803833008
4324,66.62263570442211,site2,http://10.100.20.53:8001,chronostiny,diasbp,9.711027145385742
4325,66.66344328580264,site2,http://10.100.20.53:8001,chronostiny,ecgclass,5.392789840698242
4326,66.66868452133987,site2,http://10.100.20.53:8001,chronostiny,ecgclass,4.632711410522461
4327,66.69308351869698,site2,http://10.100.20.53:8001,chronostiny,ecgclass,4.95600700378418
4328,66.69703301433286,site2,http://10.100.20.53:8001,chronostiny,diasbp,9.490489959716797
4329,66.70457810388571,site2,http://10.100.20.53:8001,chronostiny,diasbp,11.034488677978516
4330,66.71499529244079,site2,http://10.100.20.53:8001,chronostiny,heartrate,9.433507919311523
4331,66.72967814579809,site2,http://10.100.20.53:8001,chronostiny,heartrate,9.917497634887695
4332,66.73327402733577,site2,http://10.100.20.53:8001,chronostiny,ecgclass,18.173933029174805
4333,66.7347926880004,site2,http://10.100.20.53:8001,chronostiny,diasbp,17.722368240356445
