run_idx,req_idx,latency_ms,backbone_ms,decoder_ms,swap_ms,gpu_peak_mb
0,189,29.6176,29.0889,0.3096,0.0025,339.95
0,190,29.1056,28.5715,0.2943,0.0025,339.95
0,191,29.325,28.8089,0.2842,0.0025,339.95
0,192,29.6844,29.1522,0.2996,0.0023,339.95
0,193,29.4694,28.9332,0.3,0.0021,339.95
0,194,29.8855,29.3756,0.2875,0.0029,339.95
0,195,29.471,28.5714,0.6537,0.0022,339.95
0,196,29.3786,28.8863,0.27,0.0021,339.95
0,197,29.0504,28.5506,0.277,0.0027,339.95
0,198,29.5019,28.9576,0.3039,0.0022,339.95
0,199,29.6873,29.1725,0.2847,0.0023,339.95
1,0,184.7702,180.1336,4.3215,0.0038,339.95
1,1,28.0246,27.3856,0.3984,0.0024,339.95
1,2,28.8026,28.3267,0.2703,0.0022,339.95
1,3,28.7102,28.1673,0.3026,0.0027,339.95
1,4,29.3643,28.8505,0.2741,0.0026,339.95
1,5,28.8267,28.2385,0.3597,0.0023,339.95
1,6,29.5399,28.9971,0.3206,0.0025,339.95
1,7,29.0198,28.5306,0.2734,0.003,339.95
1,8,29.2649,28.76,0.2775,0.0024,339.95
1,9,29.3959,28.8548,0.3023,0.0022,339.95
1,10,29.1719,28.667,0.2809,0.0024,339.95
1,11,29.6324,28.9664,0.4301,0.0032,339.95
1,12,28.9748,28.478,0.2744,0.0024,339.95
1,13,29.4345,28.9602,0.2687,0.0029,339.95
1,14,28.8691,28.317,0.3193,0.0026,339.95
1,15,29.4857,28.9827,0.284,0.0029,339.95
1,16,29.1698,28.6371,0.2874,0.0026,339.95
1,17,29.2631,28.7077,0.306,0.0024,339.95
1,18,29.4993,28.9893,0.2849,0.0027,339.95
1,19,29.2888,28.5795,0.2806,0.0025,339.95
1,20,29.5244,29.0261,0.2778,0.0023,339.95
1,21,29.3437,28.858,0.2705,0.0029,339.95
