task,send_elapsed_s,latency_ms,server_exec_ms,worker_id
ecgclass,10.0415,68.996,43.866,0
ecgclass__app2,10.0411,69.806,44.100,0
ecgclass__app1,10.0416,69.519,44.563,0
ecgclass__app3,10.0673,68.790,26.985,0
ecgclass__app1,10.1111,65.780,41.463,0
ecgclass__app2,10.1109,66.484,42.064,0
ecgclass,10.1105,66.961,42.143,0
ecgclass__app3,10.1361,65.700,26.297,0
ecgclass__app2,10.1774,66.620,42.793,0
ecgclass__app1,10.1769,67.520,43.119,0
ecgclass,10.1775,67.292,43.664,0
ecgclass__app3,10.2019,68.565,27.597,0
ecgclass__app2,10.2440,70.008,44.264,0
ecgclass,10.2448,69.639,44.812,0
ecgclass__app1,10.2444,70.201,45.047,0
ecgclass__app3,10.2704,69.258,27.407,0
ecgclass__app1,10.3147,65.916,41.412,0
