req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,client_infer_submit_time,device_start_time,device_end_time,client_receive_time,client_prep_time(ms),client_submit_to_backend_start(ms),backend_exec_time(ms),backend_to_client_return(ms),end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms)
3074,192.7355767669961,site2,192.168.245.195:8010,papageissvri,etth1fore,1776731337.8760002,1776731337.8760054,1776731337.8777006,1776731337.9070792,1776731337.9080496,0.005245208740234375,-0.041484832763671875,29.378652572631836,2.7070045471191406,32.04941749572754,27.967415,0.00301,0.6237560000000001
3073,192.72422818902328,site2,192.168.245.191:8000,dinosmall,nyudepth,1776731337.865045,1776731337.8650498,1776731337.875623,1776731337.9026783,1776731337.919734,0.00476837158203125,1.8879175186157227,27.05526351928711,25.740981101989746,54.68893051147461,25.204674999999998,0.00266,1.066589
3076,192.79016084311465,site2,192.168.245.193:8010,momentbase,sysbp,1776731337.931635,1776731337.9316406,1776731337.9325004,1776731337.9705188,1776731337.9723485,0.0057220458984375,-0.016927719116210938,38.01846504211426,2.706289291381836,40.71354866027832,36.684802000000005,0.002103,0.7748590000000001
3075,192.77868366836117,site2,192.168.245.191:8000,dinosmall,nyudepth,1776731337.924588,1776731337.9245934,1776731337.933058,1776731337.969707,1776731337.9868844,0.0054836273193359375,-0.2206563949584961,36.64898872375488,25.862574577331543,62.296390533447266,33.911393,0.002684,1.958202
3077,192.79342498058116,site2,192.168.245.191:8010,dinosmall,vocseg,1776731337.9345057,1776731337.9345107,1776731337.942918,1776731337.972885,1776731338.0018353,0.0050067901611328125,-0.21648406982421875,29.96683120727539,37.57429122924805,67.32964515686035,27.630020000000002,0.004004,1.463257
3078,192.90610246164255,site2,192.168.245.191:8000,dinosmall,nyudepth,1776731338.0468745,1776731338.0468798,1776731338.0553234,1776731338.0797422,1776731338.0968623,0.005245208740234375,-0.2416372299194336,24.41883087158203,25.805354118347168,49.98779296875,22.761941,0.002306,0.964035
3079,192.99506758668247,site2,192.168.245.193:8010,momentbase,sysbp,1776731338.135914,1776731338.1359193,1776731338.1367865,1776731338.1765513,1776731338.178372,0.005245208740234375,-0.0095367431640625,39.7648811340332,2.6972293853759766,42.45781898498535,38.42217,0.002014,0.786512
3080,193.04340385255293,site2,192.168.245.193:8000,momentbase,heartrate,1776731338.183899,1776731338.1839042,1776731338.1851056,1776731338.2264018,1776731338.228311,0.005245208740234375,0.1341104507446289,41.29624366760254,2.976536750793457,44.41213607788086,39.340864,0.00297,1.015134
3081,193.10798973288067,site2,192.168.245.195:8000,papageissvri,diasbp,1776731338.248972,1776731338.2489772,1776731338.2513335,1776731338.281256,1776731338.282275,0.005245208740234375,0.5791187286376953,29.9224853515625,2.796173095703125,33.303022384643555,28.193472,0.0036710000000000002,0.922948
3082,193.10822381978068,site2,192.168.245.194:8010,swinsmall,eurosatclass,1776731338.249188,1776731338.2491925,1776731338.2575512,1776731338.328063,1776731338.3290648,0.0045299530029296875,0.2639293670654297,70.5118179321289,9.096622467041016,79.87689971923828,69.48077900000001,0.002278,0.504994
